599 9.43673962671977 Namespace(POS='VERB', alpha=1.0, cutoff=4, delta=1.0, gamma=1, idForProcess=2441666, language='Hebrew-HTB_2.8', model=None) [4.24680226098809, 1.3715513838679938, 1.3625575868301452, 1.3625575868301452]
HebBinyan:PUAL 0
HebBinyan:PIEL 2
HebBinyan:NIFAL 4
HebBinyan:PAAL 6
HebBinyan:HITPAEL 8
HebBinyan:HIFIL 10
Voice:Mid 12
Voice:Act 14
HebBinyan:HUFAL 16
Voice:Pass 18
Polarity:Pos 20
HebExistential:Yes 22
Tense:Fut 24
Tense:Past 26
Person:3 28
Person:1 30
Mood:Imp 32
Person:2 34
Gender:Fem,Masc 36
Gender:Fem 38
Gender:Masc 40
Number:Plur 42
Number:Sing 44
