779 8.443544740709342 Namespace(POS='VERB', alpha=1.0, cutoff=4, delta=1.0, gamma=1, idForProcess=2346230, language='Russian_2.12', model=None) [4.117286890284246, 1.375842437554281, 1.206124915441489, 1.193923239788902]
Case:Ins 0
Voice:Mid 2
Foreign:Yes 4
Voice:Act 6
Voice:Pass 8
Aspect:Imp 10
Aspect:Perf 12
Tense:Pres 14
Tense:Past 16
Gender:Neut 18
VerbForm:Conv 20
Gender:Masc 22
Tense:Fut 24
Gender:Fem 26
Typo:Yes 28
Person:2 30
Person:3 32
Abbr:Yes 34
Case:Gen 36
Person:1 38
Case:Dat 40
Mood:Imp 42
Polarity:Neg 44
Number:Plur 46
Number:Sing 48
Mood:Ind 50
VerbForm:Fin 52
