299 9.296198307090876 Namespace(POS='VERB', alpha=1.0, cutoff=4, delta=1.0, gamma=1, idForProcess=4125182, language='Hungarian-Szeged_2.8', model=None) [3.8071549864066694, 1.3330649863295134, 1.3252750397295325, 1.3252750397295325]
VerbForm:Fin 0
Voice:Cau 2
Aspect:Iter 4
Voice:Act 6
Person:2 8
Mood:Cnd,Pot 10
Mood:Pot 12
Mood:Ind 14
Mood:Cnd 16
Mood:Imp 18
Number:Plur 20
Number:Sing 22
Tense:Pres 24
Tense:Past 26
Definite:2 28
Person:1 30
Mood:Imp,Pot 32
Person:3 34
Definite:Def 36
Definite:Ind 38
