1039 7.947033765794071 Namespace(POS='VERB', alpha=1.0, cutoff=4, delta=1.0, gamma=1, idForProcess=9278594, language='Latin_2.12', model=None) [3.992622542995594, 1.164520430035378, 1.1391633394501957, 1.116469691976737]
InflClass:LatE 0
Polarity:Neg 2
InflClass:LatI2 4
InflClass:LatA 6
InflClass:LatAnom 8
VerbForm:Sup 10
Compound:Yes 12
InflClass:LatX 14
Aspect:Inch 16
Case:Dat 18
Number:Plur 20
Number:Sing 22
VerbForm:Ger 24
Gender:Masc,Neut 26
VerbForm:Gdv 28
Aspect:Prosp 30
Case:Gen 32
Case:Nom 34
Case:Abl 36
Voice:Act 38
Voice:Pass 40
Abbr:Yes 42
Case:Acc 44
Person:1 46
Gender:Fem 48
Person:3 50
Gender:Masc 52
Person:2 54
Mood:Sub 56
Mood:Ind 58
Mood:Imp 60
Tense:Pqp 62
Tense:Pres 64
Tense:Past 66
Tense:Fut 68
Gender:Neut 70
Typo:Yes 72
Aspect:Imp 74
Aspect:Perf 76
VerbForm:Fin 78
InflClass:LatI 80
